	word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol	ne
23802	1	Станет	0	VERB	ROOT	становиться	1	0	0
23803	2	ли	1	PART	discourse	ли	1	0	0
23804	3	этот	4	DET	det	этот	1	0	0
23805	4	человек	1	NOUN	nsubj	человек	1	0	0
23806	5	преемником	4	NOUN	appos	преемник	1	0	0
23807	6	Владимира	5	PROPN	nmod	владимир	1	0	0
23808	7	Путина?	6	PROPN	name	путин	1	0	0
23809	1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0	0
23810	2	оригиналапрель	1	NOUN	nsubj	оригиналапрель	2	0	0
23811	3	25-го,	4	NUM	nummod	25	2	0	0
23812	4	2016	2	NUM	nummod	2016	2	0	0
23813	1	Владимир	3	PROPN	nsubj	владимир	3	0	0
23814	2	Путин	1	PROPN	name	путин	3	0	0
23815	3	несокрушим,	0	ADJ	ROOT	несокрушимый	3	0	0
23816	4	как	5	ADP	case	как	3	0	0
23817	5	скала	3	VERB	nmod	скала	3	0	0
23818	6	во	7	ADP	case	во	3	0	0
23819	7	время	3	NOUN	nmod	время	3	0	0
23820	8	бури.	7	NOUN	nmod	буря	3	-1	0
23821	1	Президент	2	NOUN	nsubj	президент	4	0	0
23822	2	популярен	0	ADJ	ROOT	популярный	4	1	0
23823	3	среди	5	ADP	case	среди	4	0	0
23824	4	русского	5	ADJ	amod	русский	4	0	0
23825	5	народа,	2	NOUN	nmod	народ	4	0	0
23826	6	на	8	ADP	case	на	4	0	0
23827	7	международной	8	ADJ	amod	международный	4	0	0
23828	8	арене	2	NOUN	nmod	арена	4	0	0
23829	9	он	10	PRON	nsubj	он	4	0	0
23830	10	наступает,	2	VERB	parataxis	наступать	4	0	0
23831	11	провоцирует,	10	PUNCT	dobj	провоцировать	4	-1	0
23832	12	поляризует.	2	PUNCT	punct	поляризовать	4	0	0
23833	1	Тем	7	DET	advmod	то	5	0	0
23834	2	не	1	PART	mwe	не	5	0	0
23835	3	менее,	1	ADV	mwe	менее	5	0	0
23836	4	эксперты	7	NOUN	nsubj	эксперт	5	0	0
23837	5	уже	6	X	discourse	уже	5	0	0
23838	6	давно	7	ADV	advmod	давно	5	0	0
23839	7	знают:	8	VERB	cop	знать	5	0	0
23840	8	каким	0	ADJ	ROOT	какой	5	0	0
23841	9	бы	8	PART	cc	бы	5	0	0
23842	10	могущественным	12	ADJ	xcomp	могущественный	5	1	0
23843	11	ни	12	PART	neg	ни	5	0	0
23844	12	хотел	8	VERB	conj	хотеть	5	0	0
23845	13	казаться	12	VERB	xcomp	казаться	5	0	0
23846	14	Путин,	13	PROPN	iobj	путин	5	0	0
23847	15	на	17	ADP	case	на	5	0	0
23848	16	самом	17	ADJ	amod	самый	5	0	0
23849	17	деле	23	NOUN	nmod	дело	5	0	0
23850	18	в	19	ADP	case	в	5	0	0
23851	19	Кремле	23	NOUN	nmod	кремль	5	0	0
23852	20	он	23	PRON	nsubj	он	5	0	0
23853	21	таковым	23	ADJ	advmod	таковой	5	0	0
23854	22	не	23	PART	neg	не	5	0	0
23855	23	является.	13	VERB	conj	являться	5	0	0
23856	1	Владимир	3	PROPN	nsubj	владимир	6	0	0
23857	2	Путин	1	PROPN	name	путин	6	0	0
23858	3	несокрушим,	0	ADJ	ROOT	несокрушимый	6	0	0
23859	4	как	5	ADP	case	как	6	0	0
23860	5	скала	3	VERB	nmod	скала	6	0	0
23861	6	во	7	ADP	case	во	6	0	0
23862	7	время	3	NOUN	nmod	время	6	0	0
23863	8	бури.	7	NOUN	nmod	буря	6	-1	0
23864	1	Президент	2	NOUN	nsubj	президент	7	0	0
23865	2	популярен	0	ADJ	ROOT	популярный	7	1	0
23866	3	среди	5	ADP	case	среди	7	0	0
23867	4	русского	5	ADJ	amod	русский	7	0	0
23868	5	народа,	2	NOUN	nmod	народ	7	0	0
23869	6	на	8	ADP	case	на	7	0	0
23870	7	международной	8	ADJ	amod	международный	7	0	0
23871	8	арене	2	NOUN	nmod	арена	7	0	0
23872	9	он	10	PRON	nsubj	он	7	0	0
23873	10	наступает,	2	VERB	parataxis	наступать	7	0	0
23874	11	провоцирует,	10	PUNCT	dobj	провоцировать	7	-1	0
23875	12	поляризует.	2	PUNCT	punct	поляризовать	7	0	0
23876	1	Тем	7	DET	advmod	то	8	0	0
23877	2	не	1	PART	mwe	не	8	0	0
23878	3	менее	1	ADV	mwe	менее	8	0	0
23879	4	эксперты	7	NOUN	nsubj	эксперт	8	0	0
23880	5	уже	6	X	discourse	уже	8	0	0
23881	6	давно	7	ADV	advmod	давно	8	0	0
23882	7	знают:	8	VERB	cop	знать	8	0	0
23883	8	каким	0	ADJ	ROOT	какой	8	0	0
23884	9	бы	8	PART	cc	бы	8	0	0
23885	10	могущественным	12	ADJ	iobj	могущественный	8	1	0
23886	11	не	12	PART	neg	не	8	0	0
23887	12	хотел	8	VERB	conj	хотеть	8	0	0
23888	13	казаться	12	VERB	xcomp	казаться	8	0	0
23889	14	Путин,	13	PROPN	iobj	путин	8	0	0
23890	15	на	17	ADP	case	на	8	0	0
23891	16	самом	17	ADJ	amod	самый	8	0	0
23892	17	деле	23	NOUN	nmod	дело	8	0	0
23893	18	в	19	ADP	case	в	8	0	0
23894	19	Кремле	23	NOUN	nmod	кремль	8	0	0
23895	20	он	23	PRON	nsubj	он	8	0	0
23896	21	таковым	23	ADJ	advmod	таковой	8	0	0
23897	22	не	23	PART	neg	не	8	0	0
23898	23	является.	13	VERB	conj	являться	8	0	0
23899	1	Путин	11	PROPN	nsubj	путин	9	0	0
23900	2	на	3	ADP	case	на	9	0	0
23901	3	посту	1	NOUN	nmod	пост	9	0	0
23902	4	с	6	ADP	case	с	9	0	0
23903	5	1999	6	ADJ	amod	1999	9	0	0
23904	6	года	1	NOUN	nmod	год	9	0	0
23905	7	—	1	PUNCT	appos	"—
"	9	0	0
23906	8	с	9	ADP	case	с	9	0	0
23907	9	перерывом,	7	NOUN	nmod	перерыв	9	0	0
23908	10	согласно	11	ADV	advmod	согласно	9	0	0
23909	11	законодательству.	0	VERB	ROOT	законодательство	9	0	0
23910	1	Но	5	CONJ	cc:preconj	но	10	0	0
23911	2	его	3	PRON	det	он	10	0	0
23912	3	эпоха	5	NOUN	nsubj	эпоха	10	0	0
23913	4	скоро	5	ADV	advmod	скоро	10	0	0
23914	5	может	0	VERB	ROOT	может	10	0	0
23915	6	закончиться.	5	VERB	xcomp	заканчиваться	10	0	0
23916	1	Российский	2	ADJ	amod	российский	11	0	0
23917	2	политолог	5	NOUN	nsubj	политолог	11	0	0
23918	3	Глеб	2	PROPN	appos	глеб	11	0	0
23919	4	Павловский	3	PROPN	name	павловский	11	0	0
23920	5	сообщил	0	VERB	ROOT	сообщать	11	0	0
23921	6	американскому	7	ADJ	amod	американский	11	0	0
23922	7	журналу	5	NOUN	iobj	журнал	11	0	0
23923	8	Foreign	7	PROPN	appos	Foreign	11	0	0
23924	9	Affairs:	10	ADP	case	Affairs	11	0	0
23925	10	«Россия	12	PROPN	nsubj	россия	11	0	0
23926	11	уже	12	X	discourse	уже	11	0	0
23927	12	контролируется	5	VERB	parataxis	контролироваться	11	0	0
23928	13	системой,	15	NOUN	dobj	система	11	0	0
23929	14	которая	15	DET	nsubj	который	11	0	0
23930	15	использует	12	VERB	punct	использовать	11	0	0
23931	16	Путина	15	PROPN	dobj	путин	11	0	0
23932	17	только	19	X	discourse	только	11	0	0
23933	18	в	19	ADP	case	в	11	0	0
23934	19	качестве	15	NOUN	nmod	качество	11	0	0
23935	20	логотипа.	19	NOUN	nmod	логотип	11	0	0
23936	1	И	2	CONJ	cc	и	12	0	0
23937	2	система	0	NOUN	ROOT	система	12	0	0
23938	3	неустойчива».	2	PUNCT	nmod	неустойчивый	12	-1	0
23939	1	Но	2	CONJ	cc:preconj	но	13	0	0
23940	2	каким	0	DET	ROOT	какой	13	0	0
23941	3	будет	2	VERB	cop	быть	13	0	0
23942	4	период	2	NOUN	nsubj	период	13	0	0
23943	5	после	6	ADP	case	после	13	0	0
23944	6	Владимира	4	PROPN	nmod	владимир	13	0	0
23945	7	Путина?	6	PROPN	name	путин	13	0	0
23946	1	Эксперт	11	NOUN	nmod	эксперт	14	0	0
23947	2	по	3	ADP	case	по	14	0	0
23948	3	России	1	PROPN	nmod	россия	14	0	LOC
