	word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol	ne
31013	1	Политика	5	NOUN	nsubj	политика	1	0	0
31014	2	России	1	PROPN	nmod	россия	1	0	LOC
31015	3	в	4	ADP	case	в	1	0	0
31016	4	Сирии	5	PROPN	nmod	сирия	1	0	LOC
31017	5	имела	0	VERB	ROOT	иметь	1	0	0
31018	6	успех?	5	PUNCT	dobj	успех	1	1	0
31019	1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0	0
31020	2	оригиналапрель	1	NOUN	nsubj	оригиналапрель	2	0	0
31021	3	19-го,	2	PUNCT	appos	19	2	0	0
31022	4	2016	3	ADJ	amod	2016	2	0	0
31023	1	Цель,	2	ADV	advmod	цель	3	0	0
31024	2	состоявшая	6	VERB	acl	состоять	3	0	0
31025	3	в	4	ADP	case	в	3	0	0
31026	4	сохранении	2	NOUN	nmod	сохранение	3	0	0
31027	5	администрации	4	NOUN	nmod	администрация	3	0	0
31028	6	Асада,	7	PROPN	nsubjpass	асад	3	0	0
31029	7	достигнута	0	VERB	ROOT	достигать	3	1	0
31030	1	В	2	ADP	case	в	4	0	0
31031	2	сентябре	6	PROPN	nmod	сентябрь	4	0	0
31032	3	прошлого	4	ADJ	amod	прошлое	4	0	0
31033	4	года	2	NOUN	nmod	год	4	0	0
31034	5	Россия	6	PROPN	nsubj	россия	4	0	LOC
31035	6	начала	0	VERB	ROOT	начинать	4	0	0
31036	7	наносить	6	VERB	xcomp	наносить	4	0	0
31037	8	авиаудары	7	NOUN	dobj	авиаудара	4	0	0
31038	9	в	10	ADP	case	в	4	0	0
31039	10	Сирии,	7	PROPN	nmod	сирия	4	0	0
31040	11	чем	12	ADP	case	что	4	0	0
31041	12	удивила	7	VERB	nmod	удивлять	4	0	0
31042	13	весь	14	DET	det	весь	4	0	0
31043	14	мир.	12	NOUN	iobj	мир	4	0	0
31044	1	Но	7	CONJ	cc:preconj	но	5	0	0
31045	2	в	3	ADP	case	в	5	0	0
31046	3	марте	7	PROPN	nmod	март	5	0	0
31047	4	этого	5	DET	det	это	5	0	0
31048	5	года	3	NOUN	nmod	год	5	0	0
31049	6	она	7	PRON	nsubj	она	5	0	0
31050	7	объявила	0	VERB	ROOT	объявлять	5	0	0
31051	8	о	9	ADP	case	о	5	0	0
31052	9	выводе	7	NOUN	nmod	вывод	5	0	0
31053	10	основных	11	ADJ	amod	основной	5	0	0
31054	11	войск	9	NOUN	nmod	войско	5	0	0
31055	12	из	13	ADP	case	из	5	0	0
31056	13	Сирии	11	PROPN	nmod	сирия	5	0	LOC
31057	14	—	7	PUNCT	punct	"—
"	5	0	0
31058	15	и	7	CONJ	cc	и	5	0	0
31059	16	шокировала	7	VERB	conj	шокировать	5	0	0
31060	17	мировое	18	ADJ	amod	мировой	5	0	0
31061	18	сообщество	16	NOUN	dobj	сообщество	5	0	0
31062	19	во	21	ADP	case	во	5	0	0
31063	20	второй	21	ADJ	amod	второй	5	0	0
31064	21	раз.	18	PUNCT	nmod	раз	5	0	0
31065	1	Вместе	5	ADV	advmod	вместе	6	0	0
31066	2	с	3	ADP	case	с	6	0	0
31067	3	тем,	1	DET	nmod	то	6	0	0
31068	4	если	5	SCONJ	mark	если	6	0	0
31069	5	трезво	0	VERB	ROOT	трезво	6	0	0
31070	6	проанализировать	5	VERB	xcomp	проанализировать	6	0	0
31071	7	ситуацию,	6	NOUN	dobj	ситуация	6	0	0
31072	8	то	7	CONJ	cc	то	6	0	0
31073	9	молниеносная	10	ADJ	amod	молниеносный	6	0	0
31074	10	операция	15	NOUN	nsubj	операция	6	0	0
31075	11	президента	10	NOUN	nmod	президент	6	0	0
31076	12	Путина	11	PROPN	nmod	путин	6	0	PER
31077	13	всего	15	ADV	advmod	всего	6	0	0
31078	14	лишь	15	X	discourse	лишь	6	0	0
31079	15	отражает	7	VERB	punct	отражать	6	0	0
31080	16	текущую	17	ADJ	amod	текущий	6	0	0
31081	17	ситуацию	7	NOUN	nmod	ситуация	6	0	0
31082	18	в	19	ADP	case	в	6	0	0
31083	19	России	17	PROPN	nmod	россия	6	0	LOC
31084	20	и	7	CONJ	cc	и	6	0	0
31085	21	особенности	7	NOUN	conj	особенность	6	1	0
31086	22	ее	23	PRON	det	она	6	0	0
31087	23	дипломатии.	5	ADJ	nmod	дипломатия	6	1	0
31088	1	Во-первых,	2	X	det	во-первых	7	0	0
31089	2	Россия	3	PROPN	nsubj	россия	7	0	LOC
31090	3	наносила	0	VERB	ROOT	наносить	7	0	0
31091	4	авиаудары	3	NOUN	dobj	авиаудара	7	0	0
31092	5	в	6	ADP	case	в	7	0	0
31093	6	Сирии	4	PROPN	nmod	сирия	7	0	LOC
31094	7	по	9	ADP	case	по	7	0	0
31095	8	нескольким	9	ADJ	amod	несколько	7	0	0
31096	9	причинам.	6	NOUN	nmod	причина	7	0	0
31097	1	Первая	2	ADJ	amod	первый	8	0	0
31098	2	причина	0	NOUN	ROOT	причина	8	0	0
31099	3	—	2	PUNCT	punct	"—
"	8	0	0
31100	4	сохранение	2	NOUN	appos	сохранение	8	0	0
31101	5	президента	4	NOUN	nmod	президент	8	0	0
31102	6	Башара	5	PROPN	appos	башар	8	0	0
31103	7	Асада	6	PROPN	name	асад	8	0	0
31104	8	у	9	ADP	case	у	8	0	0
31105	9	власти.	2	PUNCT	nmod	власть	8	0	0
31106	1	Президент	3	NOUN	nsubj	президент	9	0	0
31107	2	Путин	1	PROPN	appos	путин	9	0	PER
